iter	Logloss
0	0.6667592632
1	0.6447801326
2	0.6276992127
3	0.6138217603
4	0.6026460201
5	0.5936110884
6	0.5866586284
7	0.5808212533
8	0.5763106512
9	0.5721340535
10	0.5685579163
11	0.5655560213
12	0.5628913262
13	0.560669839
14	0.5585445927
15	0.5568296035
16	0.5552321087
17	0.5539139648
18	0.5526483611
19	0.551623971
20	0.5505855148
21	0.5496363292
22	0.5487813399
23	0.5479057349
24	0.547124978
25	0.54645286
26	0.5457574554
27	0.5451067806
28	0.5444969676
29	0.5438791192
30	0.5433483625
31	0.5429043195
32	0.5424384957
33	0.5420402354
34	0.5415994351
35	0.5411690152
36	0.5408052998
37	0.5404179407
38	0.5400548917
39	0.5394461661
40	0.5390598576
41	0.5387585032
42	0.5384908244
43	0.5381499215
44	0.5378403933
45	0.5375375031
46	0.5371304384
47	0.5368765317
48	0.5366344144
49	0.5363098384
50	0.53598447
51	0.5357212691
52	0.5353328424
53	0.5351076384
54	0.534780556
55	0.5344779102
56	0.5342530476
57	0.5339792245
58	0.5337312164
59	0.5335458252
60	0.5333033419
61	0.5330858313
62	0.5326504349
63	0.532407492
64	0.5321773219
65	0.532018026
66	0.5318007969
67	0.5315301302
68	0.5313175121
69	0.5308706496
70	0.5306740757
71	0.5304252878
72	0.5302607066
73	0.5298468109
74	0.529573096
75	0.5294201037
76	0.5292278765
77	0.5289844741
78	0.5287985123
79	0.5285981811
80	0.5284073106
81	0.5282683848
82	0.5280998831
83	0.5279342614
84	0.5277890066
85	0.5276135633
86	0.5273808414
87	0.5270554992
88	0.5268723568
89	0.526692898
90	0.5263258134
91	0.5261543259
92	0.5258684899
93	0.5255274602
94	0.5254454557
95	0.5252685349
96	0.5251246996
97	0.525009426
98	0.5248712095
99	0.5246970929
100	0.5244468607
101	0.5242872419
102	0.5241263786
103	0.5239446956
104	0.5236028654
105	0.5234023668
106	0.5232739051
107	0.5231572045
108	0.5230345749
109	0.5228413363
110	0.5226553772
111	0.5223792203
112	0.5221681043
113	0.5218941218
114	0.5217403969
115	0.5215914371
116	0.5213747932
117	0.5212001788
118	0.5209808001
119	0.5208298224
120	0.5206766074
121	0.5205862546
122	0.5204192928
123	0.5201555106
124	0.5199698745
125	0.5197330645
126	0.5195465462
127	0.519263613
128	0.5189030236
129	0.518666461
130	0.5185502627
131	0.5183812205
132	0.5181379748
133	0.5179934317
134	0.517847117
135	0.517639092
136	0.5174661035
137	0.5172457192
138	0.5170601366
139	0.5168721238
140	0.5166763692
141	0.5163771764
142	0.5162212822
143	0.5160594112
144	0.5157951706
145	0.5156059419
146	0.5154052332
147	0.5151998392
148	0.5150128808
149	0.5148092294
150	0.5146531695
151	0.5144419298
152	0.51427629
153	0.5140826536
154	0.5138883874
155	0.51369824
156	0.5135327614
157	0.5133407152
