iter	Passed	Remaining
0	228	228470
1	278	139145
2	331	110094
3	382	95244
4	436	86886
5	492	81546
6	541	76824
7	596	73978
8	647	71296
9	694	68708
10	739	66513
11	785	64650
12	831	63127
13	875	61691
14	922	60545
15	970	59692
16	1013	58580
17	1064	58061
18	1111	57367
19	1154	56579
20	1200	55945
21	1248	55480
22	1289	54793
23	1334	54289
24	1375	53645
25	1419	53195
26	1464	52761
27	1508	52381
28	1563	52334
29	1621	52419
30	1679	52496
31	1734	52483
32	1785	52326
33	1838	52232
34	1895	52249
35	1958	52435
36	2006	52213
37	2047	51833
38	2091	51536
39	2137	51300
40	2182	51043
41	2223	50725
42	2265	50429
43	2308	50160
44	2353	49954
45	2401	49796
46	2443	49550
47	2490	49404
48	2537	49257
49	2585	49124
50	2633	48997
51	2679	48844
52	2721	48622
53	2764	48435
54	2809	48276
55	2854	48117
56	2903	48031
57	2948	47884
58	2993	47738
59	3042	47666
60	3101	47742
61	3165	47891
62	3229	48032
63	3285	48057
64	3341	48061
65	3390	47983
66	3440	47916
67	3492	47869
68	3540	47765
69	3583	47608
70	3626	47449
71	3669	47294
72	3710	47121
73	3756	47001
74	3801	46884
75	3844	46739
76	3886	46583
77	3927	46424
78	3972	46311
79	4017	46201
80	4060	46064
81	4106	45977
82	4149	45847
83	4195	45746
84	4237	45614
85	4278	45475
86	4329	45431
87	4370	45291
88	4414	45186
89	4460	45105
90	4507	45027
91	4562	45033
92	4618	45040
93	4675	45067
94	4723	44994
95	4782	45030
96	4837	45029
97	4890	45016
98	4944	45001
99	4998	44989
100	5044	44901
101	5090	44817
102	5131	44687
103	5174	44583
104	5220	44494
105	5263	44391
106	5310	44320
107	5356	44241
108	5401	44151
109	5446	44065
110	5489	43968
111	5539	43921
112	5584	43838
113	5635	43795
114	5680	43718
115	5725	43629
116	5771	43556
117	5813	43455
118	5855	43349
119	5903	43292
120	5948	43214
121	5988	43098
122	6048	43125
123	6109	43161
124	6169	43187
125	6226	43192
126	6278	43161
127	6330	43128
128	6380	43083
129	6436	43074
130	6476	42962
131	6516	42853
132	6564	42795
133	6606	42697
134	6652	42623
135	6697	42549
136	6738	42445
137	6781	42359
138	6827	42293
139	6868	42194
140	6917	42145
141	6960	42056
142	7000	41951
143	7044	41876
144	7086	41786
145	7130	41705
146	7169	41605
147	7212	41518
148	7254	41435
149	7299	41364
150	7344	41294
151	7388	41222
152	7432	41143
153	7487	41131
154	7547	41146
155	7601	41123
156	7653	41095
157	7702	41049
158	7756	41028
159	7805	40978
160	7855	40934
161	7919	40967
162	7967	40912
163	8012	40841
164	8055	40766
165	8098	40689
166	8144	40623
167	8190	40560
168	8232	40481
169	8275	40404
170	8318	40329
171	8360	40244
172	8401	40162
173	8443	40081
174	8486	40008
175	8531	39942
176	8579	39894
177	8621	39813
178	8667	39756
179	8708	39673
180	8754	39610
181	8799	39548
182	8841	39473
183	8889	39424
184	8932	39352
185	8986	39326
186	9052	39357
187	9117	39378
188	9172	39358
189	9226	39332
190	9274	39285
191	9330	39264
192	9388	39256
193	9436	39206
194	9479	39132
195	9525	39075
196	9570	39009
197	9619	38965
198	9664	38899
199	9710	38842
200	9752	38766
201	9795	38698
202	9836	38618
203	9888	38586
204	9964	38641
205	10026	38644
206	10078	38611
207	10129	38569
208	10174	38505
209	10224	38464
210	10282	38449
211	10327	38388
212	10402	38434
213	10473	38469
214	10541	38487
215	10596	38462
216	10656	38452
217	10730	38493
218	10802	38525
219	10861	38510
220	10920	38492
221	10968	38439
222	11020	38398
223	11079	38383
224	11130	38338
225	11176	38277
226	11222	38215
227	11266	38149
228	11309	38076
229	11354	38014
230	11413	37997
231	11456	37926
232	11497	37847
233	11537	37769
234	11578	37692
235	11622	37625
236	11671	37576
237	11739	37587
238	11785	37525
239	11830	37463
240	11888	37439
241	11943	37410
242	12029	37475
243	12089	37457
244	12165	37489
245	12232	37491
246	12294	37480
247	12351	37452
248	12400	37399
249	12459	37379
250	12506	37319
251	12549	37248
252	12594	37185
253	12662	37190
254	12711	37136
255	12782	37148
256	12823	37074
257	12867	37005
258	12959	37076
259	13010	37029
260	13060	36979
261	13107	36920
262	13154	36863
263	13197	36793
264	13238	36719
265	13286	36662
266	13333	36605
267	13374	36530
268	13418	36463
269	13477	36440
270	13537	36415
271	13594	36385
272	13648	36344
273	13703	36310
274	13755	36264
275	13818	36248
276	13874	36214
277	13919	36151
278	13962	36082
279	14004	36010
280	14047	35943
281	14091	35879
282	14137	35817
283	14178	35745
284	14220	35674
285	14261	35604
286	14305	35539
287	14347	35470
288	14387	35395
289	14439	35351
290	14486	35294
291	14537	35247
292	14584	35191
293	14636	35146
294	14682	35088
295	14733	35042
296	14777	34977
297	14817	34904
298	14855	34829
299	14900	34767
300	14969	34763
301	15038	34758
302	15095	34724
303	15149	34683
304	15204	34646
305	15254	34596
306	15308	34555
307	15363	34518
308	15413	34468
309	15458	34407
310	15499	34338
311	15544	34278
312	15586	34210
313	15629	34146
314	15669	34075
315	15709	34004
316	15754	33943
317	15799	33884
318	15844	33825
319	15891	33770
320	15935	33708
321	15978	33644
322	16022	33582
323	16061	33510
324	16105	33449
325	16145	33380
326	16190	33322
327	16231	33255
328	16277	33197
329	16320	33135
330	16365	33077
331	16406	33010
332	16471	32992
333	16524	32949
334	16586	32924
335	16638	32881
336	16704	32863
337	16753	32812
338	16808	32774
339	16866	32740
340	16920	32699
341	16964	32638
342	17010	32581
343	17053	32521
344	17097	32461
345	17141	32401
346	17187	32343
347	17226	32274
348	17270	32214
349	17311	32150
350	17361	32102
351	17405	32042
352	17458	31998
353	17505	31944
354	17555	31897
355	17601	31840
356	17648	31787
357	17691	31726
358	17735	31667
359	17778	31606
360	17825	31553
361	17871	31497
362	17917	31441
363	17974	31406
364	18033	31374
365	18102	31357
366	18160	31323
367	18228	31306
368	18280	31260
369	18335	31220
370	18386	31172
371	18434	31121
372	18483	31069
373	18526	31009
374	18570	30951
375	18619	30900
376	18657	30832
377	18700	30772
378	18747	30718
379	18799	30672
380	18848	30622
381	18893	30566
382	18935	30505
383	18982	30451
384	19025	30391
385	19072	30337
386	19117	30281
387	19167	30232
388	19213	30178
389	19259	30123
390	19301	30062
391	19348	30009
392	19394	29954
393	19455	29923
394	19510	29883
395	19564	29840
396	19616	29795
397	19670	29752
398	19722	29707
399	19771	29657
400	19822	29610
401	19871	29560
402	19926	29518
403	19969	29460
404	20018	29409
405	20063	29353
406	20107	29296
407	20153	29241
408	20196	29183
409	20237	29121
410	20277	29059
411	20321	29002
412	20359	28937
413	20403	28880
414	20444	28819
415	20487	28761
416	20525	28696
417	20567	28637
418	20620	28592
419	20671	28546
420	20725	28503
421	20768	28446
422	20821	28401
423	20871	28353
424	20929	28316
425	20986	28278
426	21053	28251
427	21105	28206
428	21160	28165
429	21213	28120
430	21269	28079
431	21316	28027
432	21369	27982
433	21411	27923
434	21454	27866
435	21499	27811
436	21545	27757
437	21585	27696
438	21627	27638
439	21671	27581
440	21718	27529
441	21763	27474
442	21811	27424
443	21856	27369
444	21902	27316
445	21948	27262
446	21993	27209
447	22038	27154
448	22082	27098
449	22125	27042
450	22173	26991
451	22219	26938
452	22267	26887
453	22312	26833
454	22362	26786
455	22413	26738
456	22484	26715
457	22557	26694
458	22621	26662
459	22685	26630
460	22742	26590
461	22791	26540
462	22848	26500
463	22898	26451
464	22947	26402
465	22991	26346
466	23034	26290
467	23080	26236
468	23124	26181
469	23167	26125
470	23212	26071
471	23254	26013
472	23299	25959
473	23349	25911
474	23392	25855
475	23438	25802
476	23486	25750
477	23530	25696
478	23574	25641
479	23620	25588
480	23664	25534
481	23704	25475
482	23749	25421
483	23797	25371
484	23844	25319
485	23895	25271
486	23961	25241
487	24020	25202
488	24075	25159
489	24128	25113
490	24183	25069
491	24235	25023
492	24293	24983
493	24355	24947
494	24399	24892
495	24441	24836
496	24484	24779
497	24528	24725
